Дата,Категория,Подкатегория,Заметки,Сумма,Bалюта,Доход/Расход,Счет.1
01/10/2025 12:00:00,🍜 Food,Lunch,Ramen near office,980,JPY,Расход,Main Wallet
02/10/2025 13:03:00,🍜 Food,Groceries,Supermarket Aeon,3560,JPY,Расход,Main Wallet
03/10/2025 14:06:00,🚖 Transport,Taxi,Taxi to station,1240,JPY,Расход,Main Wallet
04/10/2025 15:09:00,📙 Education,Books,Programming book,2800,JPY,Расход,Main Wallet
05/10/2025 16:12:00,💻 Subscriptions,Software,GitHub Copilot,2000,JPY,Расход,Main Wallet
06/10/2025 12:15:00,🏠 Housing,Rent,Monthly rent,65000,JPY,Расход,Main Wallet
07/10/2025 13:18:00,💰 Income,Salary,Monthly salary,250000,JPY,Доход,Main Wallet
08/10/2025 14:21:00,🍜 Food,Coffee,Starbucks latte,540,JPY,Расход,Main Wallet
09/10/2025 15:24:00,🎮 Fun,Games,Steam purchase,3200,JPY,Расход,Main Wallet
10/10/2025 16:27:00,🚉 Transport,Train,Commuter pass,12450,JPY,Расход,Main Wallet
11/10/2025 12:30:00,💊 Health,Pharmacy,Medicine,1800,JPY,Расход,Main Wallet
12/10/2025 13:33:00,💻 Subscriptions,Media,Netflix,990,JPY,Расход,Main Wallet
13/10/2025 14:36:00,📱 Phone,Mobile,Docomo plan,7800,JPY,Расход,Main Wallet
14/10/2025 15:39:00,💰 Income,Refund,Tax refund,15000,JPY,Доход,Main Wallet
15/10/2025 16:42:00,🍜 Food,Dinner,Izakaya with friends,5200,JPY,Расход,Main Wallet
